Datas,Contratos,Spot
02/01/2017,32.68,32.53
03/01/2017,32.51,31.59
04/01/2017,32.75,30.67
05/01/2017,31.55,39.11
06/01/2017,29.9,32.14
09/01/2017,30,30.9
10/01/2017,31.75,29.64
11/01/2017,31.9,27.72
12/01/2017,32.75,28.13
13/01/2017,31.75,32.78
16/01/2017,28.65,42.69
17/01/2017,28.9,32.76
18/01/2017,28.6,29.6
19/01/2017,28.6,28.73
20/01/2017,29.4,28.59
23/01/2017,28.95,29.37
24/01/2017,29.45,31.47
25/01/2017,29.2,29.56
26/01/2017,29.2,29.7
27/01/2017,28.15,30.35
30/01/2017,30.12,30.57
31/01/2017,30.75,31.99
01/02/2017,30.4,31.33
02/02/2017,30.7,31.43
03/02/2017,30.4,32.45
06/02/2017,31.6,33.37
07/02/2017,31.14,35.41
08/02/2017,29.7,39.05
09/02/2017,28.85,43.95
10/02/2017,28.4,36.94
13/02/2017,28.7,32.87
14/02/2017,28.5,33.36
15/02/2017,28.7,35.77
16/02/2017,28.8,31.5
17/02/2017,29.65,31.26
20/02/2017,30.25,29.78
21/02/2017,30.3,30.1
22/02/2017,30.24,29.18
23/02/2017,30.45,29.82
24/02/2017,30.25,30.68
27/02/2017,30.05,30.59
28/02/2017,30.3,29.87
01/03/2017,27.68,30.84
02/03/2017,27.96,30.8
03/03/2017,27.95,31.49
06/03/2017,28.55,32.99
07/03/2017,28.95,39.29
08/03/2017,27.7,33.11
09/03/2017,27.77,32.07
10/03/2017,26.7,31.37
13/03/2017,26.45,31.42
14/03/2017,26.53,29.5
15/03/2017,27.18,28.53
16/03/2017,26.9,29.95
17/03/2017,27,28.17
20/03/2017,26.9,30.42
21/03/2017,27.06,28.76
22/03/2017,27.05,29.78
23/03/2017,26.2,30.77
24/03/2017,25.5,30.61
27/03/2017,25.5,29.47
28/03/2017,26.1,31.17
29/03/2017,26.15,30.63
30/03/2017,25.95,30.15
31/03/2017,26.3,29.19
03/04/2017,24.5,30.73
04/04/2017,24.75,28.36
05/04/2017,25.19,27.24
06/04/2017,26.05,27.85
07/04/2017,26.05,27.92
10/04/2017,26.1,25.92
11/04/2017,25.85,25.6
12/04/2017,26.25,27.18
18/04/2017,25.9,32.55
19/04/2017,25.65,33.49
20/04/2017,26.2,29.49
21/04/2017,26.2,26.99
24/04/2017,26.6,30.68
25/04/2017,26.6,34.45
26/04/2017,27,37.24
27/04/2017,27.45,35.82
28/04/2017,27.68,35.26
02/05/2017,24.2,30.55
03/05/2017,24.35,30.52
04/05/2017,23.7,29.59
05/05/2017,23.53,30.17
08/05/2017,23.95,30.09
09/05/2017,23.95,34.75
10/05/2017,24.2,36.33
11/05/2017,24.25,33.7
12/05/2017,24.05,31.16
15/05/2017,24.05,31.86
16/05/2017,22.65,30.16
18/05/2017,23.3,27.54
19/05/2017,23.65,28
22/05/2017,23.95,27.88
23/05/2017,24.25,26.89
24/05/2017,24.8,26.12
26/05/2017,24.61,26.46
29/05/2017,25,28.27
30/05/2017,24.95,29.76
31/05/2017,25.7,26.73
01/06/2017,23,27.6
02/06/2017,23.35,28.73
06/06/2017,22,22.56
07/06/2017,22.35,19.57
08/06/2017,22.5,24.15
09/06/2017,22.2,26.99
12/06/2017,22.2,23.08
13/06/2017,22.65,22.87
14/06/2017,22.9,27.29
15/06/2017,22.7,26.48
16/06/2017,22.85,24.02
19/06/2017,22.53,26.06
20/06/2017,21.65,25.49
21/06/2017,21.45,26.65
22/06/2017,21.6,27.56
23/06/2017,21.75,25.21
26/06/2017,22.35,23.46
27/06/2017,22.78,25.44
28/06/2017,22.6,25.35
